epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,365.105,1.92807,1.07907,0.94412,0.51589,0.543,0.51561,0.24479,2.42542,1.72327,1.2565,0.000308302,0.000308302,0.000308302
137,367.657,1.85875,1.05942,0.93925,0.46439,0.54221,0.49296,0.24062,2.41002,1.69901,1.23801,0.000306467,0.000306467,0.000306467
138,370.19,1.8568,1.05545,0.93696,0.44287,0.54019,0.46619,0.22429,2.43108,1.73565,1.25435,0.000304632,0.000304632,0.000304632
139,372.71,1.89576,1.08899,0.93795,0.42377,0.3906,0.38709,0.15949,2.44226,1.75684,1.25064,0.000302798,0.000302798,0.000302798
140,375.209,1.8677,1.09724,0.93884,0.49744,0.45019,0.43267,0.1731,2.43855,1.73593,1.26991,0.000300963,0.000300963,0.000300963
141,377.768,1.86973,1.09937,0.94874,0.49619,0.49975,0.48188,0.2161,2.41959,1.68832,1.2682,0.000299128,0.000299128,0.000299128
142,380.311,1.88472,1.04689,0.94109,0.41243,0.47658,0.44612,0.2083,2.40883,1.66507,1.27218,0.000297293,0.000297293,0.000297293
143,382.819,1.88523,1.06901,0.95634,0.50171,0.49355,0.48012,0.2263,2.39985,1.71578,1.25434,0.000295458,0.000295458,0.000295458
144,385.375,1.84821,1.04027,0.93489,0.50116,0.48076,0.47903,0.22335,2.41563,1.72791,1.25449,0.000293624,0.000293624,0.000293624
145,387.943,1.83776,1.03661,0.93344,0.42257,0.56209,0.48097,0.21159,2.42395,1.71244,1.25779,0.000291789,0.000291789,0.000291789
146,390.449,1.84364,1.01775,0.92077,0.50572,0.4959,0.4728,0.2171,2.40923,1.75533,1.25217,0.000289954,0.000289954,0.000289954
147,392.862,1.8652,1.03328,0.93534,0.47347,0.49524,0.46888,0.21194,2.41404,1.70091,1.2494,0.000288119,0.000288119,0.000288119
148,395.46,1.85813,1.02055,0.93249,0.53091,0.41634,0.44778,0.20532,2.43528,1.75402,1.24594,0.000286284,0.000286284,0.000286284
149,398.11,1.85752,1.03058,0.92301,0.43984,0.44928,0.43477,0.20067,2.43856,1.72901,1.25461,0.00028445,0.00028445,0.00028445
150,400.722,1.83825,1.03607,0.93517,0.47154,0.48088,0.42388,0.1824,2.42493,1.73364,1.25053,0.000282615,0.000282615,0.000282615
151,403.222,1.83948,1.02829,0.931,0.53133,0.43147,0.43744,0.19684,2.42118,1.72349,1.25309,0.00028078,0.00028078,0.00028078
152,405.767,1.79539,1.05882,0.9341,0.4321,0.47162,0.44922,0.21779,2.41023,1.74784,1.25911,0.000278945,0.000278945,0.000278945
153,408.25,1.80816,0.9929,0.92496,0.56646,0.50808,0.50243,0.24653,2.42791,1.69401,1.27022,0.00027711,0.00027711,0.00027711
154,410.774,1.79809,0.99763,0.92661,0.56219,0.49007,0.4971,0.25098,2.40087,1.71142,1.24917,0.000275276,0.000275276,0.000275276
155,413.316,1.82204,1.00447,0.92119,0.58419,0.49435,0.48597,0.23927,2.41099,1.76643,1.2597,0.000273441,0.000273441,0.000273441
156,415.859,1.84722,1.02118,0.9175,0.48651,0.50225,0.45758,0.23389,2.44721,1.74665,1.26185,0.000271606,0.000271606,0.000271606
157,418.293,1.84,1.02333,0.94131,0.46077,0.53515,0.46729,0.24218,2.40944,1.70841,1.24517,0.000269771,0.000269771,0.000269771
158,420.833,1.772,0.98406,0.9246,0.4716,0.51045,0.47598,0.24605,2.416,1.7457,1.2399,0.000267936,0.000267936,0.000267936
159,423.331,1.80315,1.00955,0.93409,0.4995,0.4786,0.46416,0.21855,2.42588,1.75519,1.27047,0.000266102,0.000266102,0.000266102
160,425.826,1.8556,1.00885,0.92009,0.458,0.51119,0.4703,0.21097,2.43991,1.75393,1.26837,0.000264267,0.000264267,0.000264267
161,428.428,1.82886,0.98547,0.91967,0.48335,0.49104,0.464,0.2131,2.41768,1.74495,1.25491,0.000262432,0.000262432,0.000262432
162,431.216,1.81808,0.99813,0.9196,0.48492,0.50287,0.47215,0.21207,2.39173,1.68449,1.24258,0.000260597,0.000260597,0.000260597
163,433.655,1.8359,1.00509,0.91871,0.48283,0.54184,0.4901,0.21403,2.41614,1.68085,1.25529,0.000258762,0.000258762,0.000258762
164,436.187,1.79342,0.9639,0.92165,0.52785,0.48428,0.48297,0.2079,2.43319,1.67242,1.24017,0.000256928,0.000256928,0.000256928
165,438.757,1.80891,0.99815,0.92579,0.4823,0.52654,0.485,0.21288,2.4124,1.66213,1.24138,0.000255093,0.000255093,0.000255093
166,441.306,1.75092,0.95911,0.92554,0.40742,0.55053,0.46427,0.21157,2.45412,1.70414,1.25439,0.000253258,0.000253258,0.000253258
167,443.845,1.79711,0.97904,0.91629,0.46038,0.55439,0.48921,0.22506,2.42607,1.74165,1.25824,0.000251423,0.000251423,0.000251423
168,446.413,1.80226,0.97515,0.92169,0.63381,0.48208,0.52075,0.2348,2.43255,1.7353,1.26757,0.000249588,0.000249588,0.000249588
169,448.856,1.83255,0.99032,0.91024,0.56045,0.48147,0.50091,0.21735,2.4383,1.75352,1.26914,0.000247754,0.000247754,0.000247754
170,451.381,1.76015,0.96342,0.92267,0.53165,0.49314,0.50152,0.21828,2.41551,1.70626,1.26038,0.000245919,0.000245919,0.000245919
171,453.827,1.7014,0.94279,0.91175,0.49007,0.51025,0.49034,0.22495,2.45814,1.70227,1.2635,0.000244084,0.000244084,0.000244084
172,456.162,1.82835,0.98573,0.91375,0.57398,0.45453,0.49166,0.22615,2.44358,1.7245,1.26696,0.000242249,0.000242249,0.000242249
173,458.689,1.74557,0.95701,0.92472,0.49546,0.52398,0.49119,0.23966,2.45724,1.72426,1.28082,0.000240414,0.000240414,0.000240414
174,461.19,1.74416,0.95156,0.91825,0.5287,0.511,0.49703,0.24321,2.41046,1.7058,1.26615,0.00023858,0.00023858,0.00023858
175,463.718,1.77031,0.98743,0.91493,0.52607,0.47907,0.50276,0.24186,2.4244,1.65775,1.27575,0.000236745,0.000236745,0.000236745
176,466.492,1.74302,0.94814,0.92252,0.52965,0.49819,0.50349,0.22854,2.46213,1.68646,1.28391,0.00023491,0.00023491,0.00023491
177,469.004,1.76456,0.96741,0.90955,0.49263,0.52614,0.50231,0.2198,2.44483,1.64605,1.28181,0.000233075,0.000233075,0.000233075
178,471.424,1.72296,0.93486,0.91384,0.54134,0.49246,0.50403,0.23081,2.41706,1.69752,1.25782,0.00023124,0.00023124,0.00023124
179,473.979,1.72658,0.93226,0.91018,0.55099,0.50937,0.50731,0.23125,2.41839,1.74808,1.26405,0.000229406,0.000229406,0.000229406
180,476.493,1.84679,0.99054,0.90799,0.55205,0.48337,0.49784,0.21891,2.43893,1.74852,1.2597,0.000227571,0.000227571,0.000227571
181,479.011,1.82451,0.97205,0.91351,0.51807,0.51498,0.48704,0.20643,2.48254,1.73621,1.27101,0.000225736,0.000225736,0.000225736
